__id,component_id,sum,count,mean_distance,min_distance,max_distance
404,16,108.0535,110.0000,0.9823,0.9609,0.9944
405,16,108.0535,110.0000,0.9823,0.9609,0.9944
406,16,108.0535,110.0000,0.9823,0.9609,0.9944
407,16,108.0535,110.0000,0.9823,0.9609,0.9944
408,16,108.0535,110.0000,0.9823,0.9609,0.9944
409,16,108.0535,110.0000,0.9823,0.9609,0.9944
410,16,108.0535,110.0000,0.9823,0.9609,0.9944
411,16,108.0535,110.0000,0.9823,0.9609,0.9944
412,16,108.0535,110.0000,0.9823,0.9609,0.9944
413,26,102.2177,104.0000,0.9829,0.9632,0.9939
414,49,15.7853,16.0000,0.9866,0.9806,0.9947
415,26,102.2177,104.0000,0.9829,0.9632,0.9939
416,26,102.2177,104.0000,0.9829,0.9632,0.9939
417,26,102.2177,104.0000,0.9829,0.9632,0.9939
418,26,102.2177,104.0000,0.9829,0.9632,0.9939
419,26,102.2177,104.0000,0.9829,0.9632,0.9939
420,40,23.4281,24.0000,0.9762,0.9635,0.9909
421,49,15.7853,16.0000,0.9866,0.9806,0.9947
422,40,23.4281,24.0000,0.9762,0.9635,0.9909
423,26,102.2177,104.0000,0.9829,0.9632,0.9939
424,40,23.4281,24.0000,0.9762,0.9635,0.9909
425,40,23.4281,24.0000,0.9762,0.9635,0.9909
426,50,0.0000,0.0000,0.0000,0.0000,0.0000
427,49,15.7853,16.0000,0.9866,0.9806,0.9947
428,17,58.8723,60.0000,0.9812,0.9631,0.9950
429,17,58.8723,60.0000,0.9812,0.9631,0.9950
430,26,102.2177,104.0000,0.9829,0.9632,0.9939
431,26,102.2177,104.0000,0.9829,0.9632,0.9939
432,26,102.2177,104.0000,0.9829,0.9632,0.9939
433,26,102.2177,104.0000,0.9829,0.9632,0.9939
434,51,43.3367,44.0000,0.9849,0.9742,0.9936
435,8,184.7370,188.0000,0.9826,0.9611,0.9948
436,26,102.2177,104.0000,0.9829,0.9632,0.9939
437,12,141.6758,144.0000,0.9839,0.9655,0.9941
438,12,141.6758,144.0000,0.9839,0.9655,0.9941
439,12,141.6758,144.0000,0.9839,0.9655,0.9941
440,12,141.6758,144.0000,0.9839,0.9655,0.9941
441,12,141.6758,144.0000,0.9839,0.9655,0.9941
442,12,141.6758,144.0000,0.9839,0.9655,0.9941
443,12,141.6758,144.0000,0.9839,0.9655,0.9941
444,12,141.6758,144.0000,0.9839,0.9655,0.9941
445,12,141.6758,144.0000,0.9839,0.9655,0.9941
446,12,141.6758,144.0000,0.9839,0.9655,0.9941
447,12,141.6758,144.0000,0.9839,0.9655,0.9941
448,12,141.6758,144.0000,0.9839,0.9655,0.9941
449,12,141.6758,144.0000,0.9839,0.9655,0.9941
450,12,141.6758,144.0000,0.9839,0.9655,0.9941
451,12,141.6758,144.0000,0.9839,0.9655,0.9941
452,12,141.6758,144.0000,0.9839,0.9655,0.9941
453,12,141.6758,144.0000,0.9839,0.9655,0.9941
454,12,141.6758,144.0000,0.9839,0.9655,0.9941
455,17,58.8723,60.0000,0.9812,0.9631,0.9950
456,17,58.8723,60.0000,0.9812,0.9631,0.9950
457,26,102.2177,104.0000,0.9829,0.9632,0.9939
458,51,43.3367,44.0000,0.9849,0.9742,0.9936
459,26,102.2177,104.0000,0.9829,0.9632,0.9939
